Customer Reference ID,Alias,Country,Signup Date,Reward Plan,Marketing Source name,URL,Expiry Date,Customer Type,Deposits,Turnover,Total Net Revenue,Total Net Revenue MTD
3267,1027247854,United Kingdom,10/4/2013,01 - Turnover (Risk Free) Commission Plan,Couponarbitrage,http://www.couponarbitrage.com/,10/4/2113,Generic,389,396,188.26,185
5435,1037940505,United Kingdom,30/07/2013,01 - Turnover (Risk Free) Commission Plan,Couponarbitrage,http://www.couponarbitrage.com/,30/07/2113,Generic,22301,57521,3466.5,0
